#    L    TT             EE             BB             TE             PP             TP             EP          
   213    0.33534E+03    0.72307E+00    0.00000E+00    0.13103E+01    0.36893E-07    0.14699E-03   -0.79197E-07
   214    0.33297E+03    0.73864E+00    0.00000E+00    0.16772E+01    0.36702E-07    0.14570E-03   -0.65421E-07
   215    0.33060E+03    0.75567E+00    0.00000E+00    0.20456E+01    0.36512E-07    0.14442E-03   -0.51697E-07
   216    0.32816E+03    0.77398E+00    0.00000E+00    0.24165E+01    0.36323E-07    0.14315E-03   -0.38026E-07
   217    0.32578E+03    0.79372E+00    0.00000E+00    0.27883E+01    0.36136E-07    0.14190E-03   -0.24407E-07
   218    0.32333E+03    0.81489E+00    0.00000E+00    0.31620E+01    0.35951E-07    0.14067E-03   -0.10843E-07
   219    0.32087E+03    0.83748E+00    0.00000E+00    0.35389E+01    0.35767E-07    0.13944E-03    0.26660E-08
   220    0.31841E+03    0.86165E+00    0.00000E+00    0.39153E+01    0.35585E-07    0.13823E-03    0.16120E-07
   221    0.31595E+03    0.88732E+00    0.00000E+00    0.42939E+01    0.35404E-07    0.13704E-03    0.29517E-07
   222    0.31348E+03    0.91464E+00    0.00000E+00    0.46737E+01    0.35225E-07    0.13585E-03    0.42857E-07
   223    0.31085E+03    0.94354E+00    0.00000E+00    0.50560E+01    0.35047E-07    0.13468E-03    0.56139E-07
   224    0.30837E+03    0.97400E+00    0.00000E+00    0.54378E+01    0.34871E-07    0.13352E-03    0.69363E-07
   225    0.30581E+03    0.10062E+01    0.00000E+00    0.58224E+01    0.34696E-07    0.13238E-03    0.82527E-07
   226    0.30325E+03    0.10401E+01    0.00000E+00    0.62068E+01    0.34523E-07    0.13124E-03    0.95631E-07
   227    0.30060E+03    0.10757E+01    0.00000E+00    0.65929E+01    0.34351E-07    0.13012E-03    0.10867E-06
   228    0.29801E+03    0.11130E+01    0.00000E+00    0.69799E+01    0.34180E-07    0.12901E-03    0.12166E-06
