#    L    TT             EE             TE             PP             TP          
   279    0.17185E+03    0.57460E+01    0.24142E+02    0.12508E+07    0.14525E+04
   280    0.16986E+03    0.58918E+01    0.24374E+02    0.12455E+07    0.14414E+04
   281    0.16800E+03    0.60397E+01    0.24593E+02    0.12401E+07    0.14305E+04
   282    0.16597E+03    0.61892E+01    0.24806E+02    0.12349E+07    0.14196E+04
   283    0.16405E+03    0.63406E+01    0.25014E+02    0.12296E+07    0.14089E+04
   284    0.16216E+03    0.64939E+01    0.25217E+02    0.12244E+07    0.13982E+04
   285    0.16029E+03    0.66490E+01    0.25416E+02    0.12192E+07    0.13877E+04
   286    0.15836E+03    0.68057E+01    0.25604E+02    0.12141E+07    0.13772E+04
   287    0.15643E+03    0.69642E+01    0.25796E+02    0.12089E+07    0.13669E+04
   288    0.15456E+03    0.71243E+01    0.25978E+02    0.12039E+07    0.13567E+04
   289    0.15267E+03    0.72860E+01    0.26159E+02    0.11988E+07    0.13466E+04
   290    0.15083E+03    0.74492E+01    0.26338E+02    0.11938E+07    0.13365E+04
   291    0.14902E+03    0.76146E+01    0.26502E+02    0.11888E+07    0.13266E+04
   292    0.14694E+03    0.77811E+01    0.26672E+02    0.11839E+07    0.13168E+04
   293    0.14518E+03    0.79483E+01    0.26829E+02    0.11789E+07    0.13070E+04
   294    0.14327E+03    0.81177E+01    0.26993E+02    0.11740E+07    0.12974E+04
   295    0.14158E+03    0.82878E+01    0.27144E+02    0.11692E+07    0.12879E+04
   296    0.13973E+03    0.84601E+01    0.27297E+02    0.11644E+07    0.12784E+04
   297    0.13793E+03    0.86324E+01    0.27452E+02    0.11596E+07    0.12691E+04
   298    0.13602E+03    0.88069E+01    0.27596E+02    0.11548E+07    0.12598E+04
   299    0.13422E+03    0.89828E+01    0.27736E+02    0.11501E+07    0.12506E+04
   300    0.13236E+03    0.91588E+01    0.27872E+02    0.11454E+07    0.12415E+04
   301    0.13052E+03    0.93361E+01    0.28014E+02    0.11407E+07    0.12325E+04
   302    0.12875E+03    0.95142E+01    0.28159E+02    0.11360E+07    0.12236E+04
   303    0.12698E+03    0.96937E+01    0.28294E+02    0.11314E+07    0.12148E+04
   304    0.12519E+03    0.98747E+01    0.28419E+02    0.11268E+07    0.12060E+04
   305    0.12345E+03    0.10056E+02    0.28548E+02    0.11222E+07    0.11974E+04
   306    0.12168E+03    0.10237E+02    0.28672E+02    0.11177E+07    0.11888E+04
   307    0.11993E+03    0.10420E+02    0.28786E+02    0.11132E+07    0.11803E+04
   308    0.11821E+03    0.10604E+02    0.28911E+02    0.11087E+07    0.11719E+04
   309    0.11657E+03    0.10788E+02    0.29017E+02    0.11042E+07    0.11635E+04
   310    0.11486E+03    0.10972E+02    0.29126E+02    0.10998E+07    0.11553E+04
