#    L    TT             EE             BB             TE          
   384    0.17871E+04    0.20852E+02    0.32791E-01    0.29909E+02
   385    0.17762E+04    0.20891E+02    0.32885E-01    0.28023E+02
   386    0.17658E+04    0.20925E+02    0.32978E-01    0.26135E+02
   387    0.17558E+04    0.20956E+02    0.33073E-01    0.24245E+02
   388    0.17463E+04    0.20982E+02    0.33167E-01    0.22356E+02
   389    0.17371E+04    0.21003E+02    0.33262E-01    0.20466E+02
   390    0.17284E+04    0.21023E+02    0.33358E-01    0.18578E+02
   391    0.17201E+04    0.21038E+02    0.33453E-01    0.16691E+02
   392    0.17122E+04    0.21051E+02    0.33550E-01    0.14808E+02
   393    0.17048E+04    0.21059E+02    0.33647E-01    0.12927E+02
